#{"t_start": 1745647065.2833416, "env_id": "CartPole-v1"}
r,l,t
42.0,42,2.032542
60.0,60,2.080389
46.0,46,2.113868
60.0,60,2.180862
62.0,62,2.24927
72.0,72,5.663473
69.0,69,5.71594
109.0,109,5.774937
64.0,64,5.806589
90.0,90,5.854581
148.0,148,9.093235
124.0,124,9.156878
64.0,64,9.188646
78.0,78,9.220566
74.0,74,9.268473
65.0,65,12.040619
70.0,70,12.072591
101.0,101,12.152187
179.0,179,12.279145
87.0,87,12.32641
73.0,73,15.463983
125.0,125,15.543072
166.0,166,15.657017
105.0,105,15.71851
60.0,60,15.750621
81.0,81,18.540251
47.0,47,18.572066
93.0,93,18.632611
62.0,62,18.672297
73.0,73,18.717796
56.0,56,23.245623
57.0,57,23.273421
73.0,73,23.32109
111.0,111,23.401366
143.0,143,23.481132
77.0,77,26.581749
149.0,149,26.684229
82.0,82,26.728491
65.0,65,26.775826
52.0,52,26.808075
89.0,89,30.403039
169.0,169,30.568609
62.0,62,30.617085
65.0,65,30.660638
102.0,102,30.742796
67.0,67,34.44858
86.0,86,34.527709
86.0,86,34.59139
107.0,107,34.725343
82.0,82,34.855224
59.0,59,41.684353
87.0,87,42.129647
146.0,146,42.717192
107.0,107,43.059113
78.0,78,43.268435
67.0,67,49.985796
93.0,93,50.110898
78.0,78,50.24431
103.0,103,50.432589
65.0,65,50.525942
0739
16.0,16,8.961904
27.0,27,8.989248
27.0,27,9.026894
21.0,21,9.04061
19.0,19,9.05639
38.0,38,9.103487
41.0,41,9.151097
20.0,20,9.166904
26.0,26,9.198379
33.0,33,9.230464
53.0,53,9.277991
17.0,17,9.846935
18.0,18,9.86903
24.0,24,9.888845
65.0,65,10.737965
23.0,23,10.769197
32.0,32,10.811584
22.0,22,10.847421
26.0,26,10.877
21.0,21,10.914116
19.0,19,10.920911
19.0,19,10.952723
16.0,16,10.968612
41.0,41,11.000703
11.0,11,11.016525
15.0,15,11.03264
23.0,23,11.048786
11.0,11,11.064602
14.0,14,11.080511
15.0,15,11.094571
25.0,25,11.11815
15.0,15,11.131952
12.0,12,11.14375
27.0,27,11.159562
29.0,29,11.191289
40.0,40,11.223321
25.0,25,11.245495
19.0,19,11.277343
18.0,18,12.25472
15.0,15,12.27812
9.0,9,12.295072
15.0,15,12.317407
24.0,24,12.350943
42.0,42,12.397808
23.0,23,12.433591
20.0,20,12.449485
11.0,11,12.465492
24.0,24,12.495772
9.0,9,12.511549
38.0,38,12.549679
31.0,31,12.58135
21.0,21,12.597056
12.0,12,12.613123
18.0,18,12.629197
53.0,53,12.676596
30.0,30,13.202678
19.0,19,13.229226
35.0,35,13.258588
25.0,25,13.278411
72.0,72,14.112689
39.0,39,14.15644
15.0,15,14.172142
24.0,24,14.193721
12.0,12,14.207802
45.0,45,14.25912
18.0,18,14.28596
14.0,14,14.29198
25.0,25,14.323014
13.0,13,14.338878
19.0,19,14.354997
55.0,55,14.402369
16.0,16,14.418185
32.0,32,14.449933
27.0,27,14.46567
46.0,46,14.513324
94.0,94,14.592866
58.0,58,15.390775
40.0,40,15.440244
16.0,16,15.462343
20.0,20,15.479876
18.0,18,15.495935
10.0,10,15.511967
33.0,33,15.543517
60.0,60,15.591409
15.0,15,15.607426
35.0,35,15.639096
10.0,10,15.655091
26.0,26,16.347319
21.0,21,16.379168
28.0,28,16.394903
25.0,25,16.426486
28.0,28,16.442353
31.0,31,16.474171
20.0,20,16.490058
9.0,9,16.490058
19.0,19,16.506077
63.0,63,17.566534
25.0,25,17.605723
15.0,15,17.630622
27.0,27,17.662832
43.0,43,17.712106
26.0,26,17.741724
29.0,29,17.775384
21.0,21,17.807754
