#{"t_start": 1745492982.0474162, "env_id": "CartPole-v1"}
r,l,t
160.0,160,1.674921
180.0,180,1.767914
149.0,149,1.909381
143.0,143,1.987866
154.0,154,2.067727
176.0,176,3.850893
160.0,160,3.946074
162.0,162,4.03914
417.0,417,4.24702
162.0,162,4.324755
302.0,302,6.055954
291.0,291,6.215662
346.0,346,6.374907
500.0,500,6.618171
223.0,223,6.729943
500.0,500,8.556429
500.0,500,8.790683
500.0,500,9.024282
500.0,500,9.25633
500.0,500,9.474542
500.0,500,11.342805
500.0,500,11.593051
500.0,500,11.826553
500.0,500,12.043404
500.0,500,12.276894
500.0,500,14.045175
500.0,500,14.278505
500.0,500,14.512105
500.0,500,14.742076
500.0,500,14.973364
500.0,500,16.872992
500.0,500,17.11228
500.0,500,17.347527
500.0,500,17.572847
500.0,500,17.795457
500.0,500,19.849827
500.0,500,20.107624
500.0,500,20.33891
500.0,500,20.564521
500.0,500,20.78214
407.0,407,22.523499
490.0,490,22.773495
491.0,491,23.002369
449.0,449,23.204536
463.0,463,23.40767
500.0,500,25.287415
500.0,500,25.537681
500.0,500,25.771262
500.0,500,26.00481
500.0,500,26.221641
500.0,500,28.106631
500.0,500,28.353461
500.0,500,28.573624
500.0,500,28.803294
500.0,500,29.019954
500.0,500,30.875523
500.0,500,31.109003
500.0,500,31.341318
500.0,500,31.558758
500.0,500,31.774464
500.0,500,33.644512
500.0,500,33.890706
500.0,500,34.122984
500.0,500,34.345055
500.0,500,34.561918
500.0,500,36.423617
500.0,500,36.669461
500.0,500,36.897027
500.0,500,37.11753
500.0,500,37.334133
500.0,500,39.215764
500.0,500,39.454116
500.0,500,39.684175
500.0,500,39.900801
500.0,500,40.134066
500.0,500,42.20156
500.0,500,42.451767
500.0,500,42.682967
500.0,500,42.902115
500.0,500,43.118948
500.0,500,44.920496
500.0,500,45.170629
500.0,500,45.42083
500.0,500,45.65181
500.0,500,45.868485
500.0,500,47.722834
500.0,500,47.972934
500.0,500,48.215092
500.0,500,48.440048
500.0,500,48.656872
500.0,500,50.575141
500.0,500,50.82243
500.0,500,51.050615
500.0,500,51.273312
500.0,500,51.488943
500.0,500,53.392544
500.0,500,53.638416
500.0,500,53.866735
500.0,500,54.089311
500.0,500,54.311545
500.0,500,56.164086
500.0,500,56.397339
500.0,500,56.647294
500.0,500,56.863829
500.0,500,57.097035
500.0,500,58.979455
500.0,500,59.215578
500.0,500,59.448862
500.0,500.0,500,60.700052
500.0,500,61.44500.0,500.0,500,63.452325
500.0,500,64.169443
500.0,500,66.186973
500.0,500,67.080857
500.0,500,69.01466
500.0,500,69.866456
500.0,500,71.727693
500.0,500,72.594099
500.0,500,74.460072
500.0,500,75.312111
500.0,500,77.313802
500.0,500,78.310583
500.0,500,80.575944
500.0,500,81.393009
500.0,500,83.675963
500.0,500,84.508769
500.0,500,86.583146
500.0,500,87.341313
500.0,500,89.381879
500.0,500,90.286392
500.0,500,92.198076
500.0,500,93.178074
500.0,500,95.112168
500.0,500,96.023063
500.0,500,97.951912
500.0,500,98.821081
500.0,500,100.824193
500.0,500,101.723744
500.0,500,103.862903
500.0,500,104.686558
500.0,500,106.921776
500.0,500,107.689087
500.0,500,109.78713
500.0,500,110.553628
500.0,500,112.80309
500.0,500,113.787229
500.0,500,115.923243
500.0,500,116.922918
34
500.0,500,82.766356
500.0,500,84.825557
500.0,500,85.091722
500.0,500,85.324327
500.0,500,85.560277
500.0,500,85.789356
500.0,500,87.802875
500.0,500,88.058398
500.0,500,88.297006
500.0,500,88.526483
500.0,500,88.755409
500.0,500,90.617925
500.0,500,90.866421
500.0,500,91.103977
500.0,500,91.344305
500.0,500,91.566888
500.0,500,93.511709
500.0,500,93.750385
500.0,500,93.989039
500.0,500,94.21289
500.0,500,94.440916
500.0,500,96.352009
500.0,500,96.591445
500.0,500,96.843566
500.0,500,97.080846
500.0,500,97.323726
500.0,500,99.163901
500.0,500,99.4158
500.0,500,99.638575
500.0,500,99.862407
500.0,500,100.092426
500.0,500,102.063765
500.0,500,102.323761
500.0,500,102.54588
500.0,500,102.768498
500.0,500,103.00076
500.0,500,105.074217
500.0,500,105.353808
500.0,500,105.603747
500.0,500,105.870921
500.0,500,106.104447
500.0,500,108.00604
500.0,500,108.239491
500.0,500,108.472777
500.0,500,108.706556
500.0,500,108.940111
500.0,500,111.074258
500.0,500,111.373155
500.0,500,111.651423
500.0,500,111.907439
500.0,500,112.142622
500.0,500,114.150799
500.0,500,114.41136
500.0,500,114.669402
500.0,500,114.91161
500.0,500,115.154686
